日期及型号,评论
2024年12月15日 · 【DP直连】标准版,屏幕大，色彩好，强烈推荐
2024年12月31日 · 【DP直连】标准版,物流及时，其他目前研究中
2025年3月18日 · 【DP直连】标准版,给我爷爷买一个，他很喜欢
2025年3月9日 · 【非DP推荐】Beam Pro 128G套装,非常清晰哦，强烈推荐哈哈
2025年4月17日 · 【边充边玩】标准版+Hub套装,产品性价比高，质量很好�
2024年12月15日 · 【DP直连】标准版,蛮好的，相当于一个便携大屏
2025年1月24日 · 【DP直连】标准版,黑科技产品，便携式大屏影院
2025年4月28日 · 【边充边玩】标准版+Hub套装,挺好的，很清晰，操作也方便
2025年1月20日 · 【DP直连】标准版,畫面清晰，音質很好，極力推薦
2025年5月19日 · 【边充边玩】标准版+Hub套装,很不错，比雷鸟air3好多了
2025年5月27日 · 【DP直连】标准版,非常好用，悬停模式稳定的一批
2025年3月26日 · 【DP直连】标准版,我买了几个给我家人他们都说好用
2025年6月5日 · 【非DP设备推荐】Beam Pro256G套装,不错，好东西，顶尖品牌，没的说
2025年3月11日 · 【DP直连】标准版,第一次买ar产品，使用效果非常好
2025年3月8日 · 【边充边玩】标准版+Hub套装,不堪大用，感觉不如一个大屏幕实在
2025年6月25日 · 【DP直连】标准版,还可以吧 国补订单 东西是件不错
2025年1月19日 · 【非DP设备推荐】Beam Pro 128G套装,新体验，宝贝质量不错，值得拥有:)
2025年1月6日 · 【DP直连】标准版,画面防抖、悬停功能完美，画质清晰。
2025年2月7日 · 【DP直连】标准版,这绝对是坐高铁的神器，看看剧很完美
2025年4月20日 · 【DP直连】标准版,感觉还不错，还没用，用了再补发效果
2025年4月29日 · 【DP直连】标准版,好用，显示清晰，悬停，云台模式好用
2024年12月13日 · 【DP直连】标准版,cool，非常赞，音质很好，速度很快
2025年6月2日 · 【DP直连】标准版,目前用起来感觉很不错，之后会追评一下
2025年5月13日 · 【DP直连】标准版,总会莫名关机需要拔线重连有点烦òᆺó！
2025年6月11日 · 【DP直连】标准版,非常清晰，佩戴舒适，完美搭配各种玩法！
2025年6月25日 · 【DP直连】标准版,直连方便，成像质量好，悬停和云台都方便
2024年12月14日 · 【DP直连】标准版,第二副了！终于把投屏3dof给安排上了！
2025年1月17日 · 【DP直连】标准版,好好好好好好哈哈哈哈哈哈哈就哈哈哈哈哈姐
2025年5月23日 · 【非DP设备推荐】Beam Pro256G套装,好用，牛*，等着拓展硬件升级成6dof了
2025年5月8日 · 【DP直连】标准版,好东西，解放双手，享受大屏幕带来的精彩！
2025年6月4日 · 【DP直连】标准版,Mac mini ➕xreal pro�
2025年3月22日 · 【DP直连】标准版,实用型不强，只是个投屏而已，没有预期的效果
